point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
NA,1,1,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0
1_1_1_2,1,1,1,2,33249,33271,33249,DeuceCourt,126 KPH,Kick,NA,11.524,0.945,2.718,1,Unforced Error,NA,False,Ground,ForeHand,1.71 Metre,NA,Wide Error,False,False,True,-5.399,-2.529,0.04,Body,,,,-12.636,-4.372,1.587,10.059,-4.293,0.037,-12.636,-4.372,1.587,0.0,-3.987,1.711,10.059,-4.293,0.037,1675.74,0,0,0,0,0,0,0,0
1_1_2_1,1,1,2,1,33249,33271,33249,AdCourt,169 KPH,NA,NA,,,,3,Forced Error,NA,False,,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0
1_1_3_1,1,1,3,1,33249,33271,33271,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,0
1_1_3_2,1,1,3,2,33249,33271,33271,DeuceCourt,0 KPH,NA,NA,,,,0,DoubleFault,NA,False,,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,2,0
1_1_4_1,1,1,4,1,33249,33271,33249,AdCourt,167 KPH,NA,NA,,,,1,Forced Error,NA,False,,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,2,1
1_1_5_1,1,1,5,1,33249,33271,33249,DeuceCourt,169 KPH,Flat,NA,11.431,1.122,2.762,3,Forced Error,NA,True,Drop,BackHand,1.34 Metre,NA,NA,False,False,True,-4.616,-3.263,0.041,Wide,,,,-14.591,3.263,1.003,-1.378,1.616,0.044,-12.386,-5.639,1.418,-0.001,-3.264,1.019,9.195,0.286,0.046,NA,0,0,0,0,0,0,3,1
1_2_1_1,1,2,1,1,33271,33249,33271,DeuceCourt,0 KPH,NA,NA,,,,3,NA,NA,False,,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
1_2_2_1,1,2,2,1,33271,33249,33271,AdCourt,168 KPH,Flat,NA,11.467,-1.198,2.616,1,Forced Error,NA,False,Ground,ForeHand,3.12 Metre,NA,NA,False,False,True,-4.931,0.486,0.043,T,,,,-13.662,1.256,1.109,11.297,-4.615,0.012,-13.662,1.256,1.109,0.0,-1.998,3.121,11.297,-4.615,0.012,NA,0,0,0,0,0,0,1,0
NA,1,2,3,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,0
1_2_3_2,1,2,3,2,33271,33249,33271,DeuceCourt,168 KPH,NA,NA,,,,3,Unforced Error,NA,False,Ground,BackHand,3.12 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,0,0,0,0,0,0,2,0
1_2_4_1,1,2,4,1,33271,33249,33249,AdCourt,137 KPH,NA,NA,,,,2,Winner,NA,False,Ground,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,0,0,0,0,0,0,3,0
NA,1,2,5,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,3,1
1_2_5_2,1,2,5,2,33271,33249,33271,DeuceCourt,122 KPH,Flat,NA,11.687,1.14,2.682,5,Forced Error,NA,True,Drop,BackHand,1.16 Metre,NA,NA,False,False,True,-4.824,-1.375,0.043,Body,,,,-13.897,2.36,0.404,-3.338,-1.554,0.043,-11.943,-2.504,1.508,-0.0,-2.084,2.019,11.032,-1.654,0.042,NA,0,0,0,0,0,0,3,1
1_3_1_1,1,3,1,1,33249,33271,33249,DeuceCourt,159 KPH,NA,NA,,,,1,Forced Error,NA,False,Drop,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,0,0,0,0,0,0,0,0
1_3_2_1,1,3,2,1,33249,33271,33249,AdCourt,169 KPH,NA,NA,,,,0,Faulty Serve,NA,False,Drop,ForeHand,1.34 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,1,0
1_3_2_2,1,3,2,2,33249,33271,33249,AdCourt,125 KPH,Pronated,NA,-11.287,1.741,2.703,3,Forced Error,NA,False,Ground,ForeHand,1.67 Metre,NA,NA,False,False,True,4.259,-2.316,0.042,Body,,,,9.837,3.531,1.322,,,,13.092,-4.664,1.78,0.0,-1.803,2.675,-11.535,0.017,0.037,0,0,0,0,0,0,0,1,0
1_3_3_1,1,3,3,1,33249,33271,33249,DeuceCourt,126 KPH,NA,NA,,,,3,Unforced Error,NA,False,Ground,BackHand,1.71 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1781.94,0,0,0,0,0,0,2,0
1_3_4_1,1,3,4,1,33249,33271,33249,AdCourt,161.33 KPH,NA,0.55 Metre,-11.041,1.644,2.745,0,Faulty Serve,Net Error,True,NA,BackHand,0.82 Metre,NA,Net Error,False,False,True,-0.24,-4.667,0.04,Wide,,,,-11.041,1.644,2.745,-0.24,-4.667,0.04,,,,,,,,,,1706.82,1,0,0,0,0,0,3,0
